LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PATHOLOGICAL_COMPLEXITY,PERCENT_COMMENTS,LOC_TOTAL,Defective
0.0,7.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,1.0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,91.0,0.04,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,b'N'
0.0,125.0,11.0,0.0,0.0,0.0,63.0,1.0,0.0,0.0,56.0,0.89,462.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,401.0,0.13,0.0,0.0,0.0,0.0,489.0,1.0,0.0,489.0,b'Y'
0.0,23.0,2.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,2.0,0.17,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,54.0,0.19,0.0,0.0,0.0,0.0,62.0,1.0,0.0,62.0,b'Y'
0.0,3.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,37.0,0.03,0.0,0.0,0.0,0.0,58.0,1.0,0.0,58.0,b'Y'
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,613.0,1.0,0.0,613.0,b'N'
0.0,9.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.4,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,26.0,0.12,0.0,0.0,0.0,0.0,41.0,1.0,0.0,41.0,b'Y'
0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,0.03,0.0,0.0,0.0,0.0,36.0,1.0,0.0,36.0,b'Y'
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.01,0.0,0.0,0.0,0.0,81.0,1.0,0.0,81.0,b'N'
0.0,29.0,9.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,14.0,0.93,133.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,120.0,0.1,0.0,0.0,0.0,0.0,145.0,1.0,0.0,145.0,b'Y'
0.0,3.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,38.0,0.03,0.0,0.0,0.0,0.0,58.0,1.0,0.0,58.0,b'Y'
