filename,#CodeChurnInFile,MaxSizeCodeChurn,AvgSizeCodeChurn,#Commits,#Contributors,#MinorContributors,#ContibutorExperience,#Hunks,#LinesAdded,MaxLinesAdded,AvgLinesAdded,#LinesRemoved,MaxLinesRemoved,AvgLinesRemoved,vulnerable
CHANGES,194,11,1,278,18.0,13.0,26.92,1.0,762,11,3,568,39,2,1
modules\lua\lua_request.c,665,325,22,30,7.0,6.0,91.81,2.0,766,327,26,101,17,3,1
modules\core\mod_macro.c,6,6,2,3,2.0,0.0,66.67,5.0,36,21,12,30,21,10,1
modules\aaa\mod_auth_basic.c,-4,0,-1,4,3.0,0.0,55.56,1.0,7,3,2,11,5,3,1
docs\manual\mod\mpm_common.xml,38,38,19,2,2.0,0.0,90.48,1.0,40,38,20,2,2,1,1
docs\manual\mod\core.html.fr,14,49,1,26,9.0,6.0,67.01,1.5,298,114,11,284,230,11,1
docs\manual\mod\core.xml.de,0,0,0,16,8.0,0.0,31.25,1.0,16,1,1,16,1,1,1
docs\manual\mod\core.xml.es,0,0,0,16,8.0,0.0,31.25,1.0,16,1,1,16,1,1,1
docs\manual\mod\core.xml.ja,0,0,0,16,8.0,0.0,31.25,1.0,16,1,1,16,1,1,1
docs\manual\mod\core.xml.tr,0,0,0,16,8.0,0.0,31.25,1.0,16,1,1,16,1,1,1
docs\manual\mod\mod_deflate.xml.meta,0,0,0,4,3.0,0.0,50.0,1.0,4,1,1,4,1,1,1
docs\manual\rewrite\intro.html.fr,-9,7,-2,6,5.0,3.0,65.57,1.0,26,11,4,35,27,6,1
docs\manual\rewrite\intro.xml.meta,0,0,0,2,2.0,0.0,50.0,1.0,2,1,1,2,1,1,1
docs\manual\ssl\ssl_intro.xml.meta,0,0,0,2,2.0,0.0,50.0,1.0,2,1,1,2,1,1,1
docs\manual\mod\core.xml.fr,127,48,6,22,4.0,3.0,93.72,2.0,175,49,8,48,7,2,1
docs\manual\mod\mod_deflate.xml.fr,96,61,16,6,3.0,2.0,94.44,1.0,102,62,17,6,1,1,1
docs\manual\rewrite\intro.xml.fr,11,11,6,2,2.0,0.0,91.3,1.5,17,16,8,6,5,3,1
docs\manual\ssl\ssl_intro.xml.fr,-4,0,-1,3,2.0,0.0,91.67,1.0,10,8,3,14,12,5,1
docs\manual\mod\mod_ssl.html.en,50,39,2,21,9.0,5.0,46.14,2.0,284,61,14,234,159,11,1
docs\manual\mod\mod_ssl.xml,146,38,7,22,6.0,2.0,50.0,1.0,243,52,11,97,24,4,1
docs\log-message-tags\next-number,0,0,0,76,12.0,5.0,27.63,1.0,76,1,1,76,1,1,1
modules\proxy\mod_proxy_http.c,186,133,9,21,8.0,6.0,81.94,1.0,392,261,19,206,128,10,1
modules\proxy\proxy_util.c,335,66,5,70,8.0,3.0,52.93,2.0,824,82,12,489,81,7,1
modules\proxy\mod_proxy_connect.c,2,2,1,2,1.0,0.0,100.0,5.0,17,16,8,15,14,8,1
modules\mappers\mod_alias.c,177,188,35,5,4.0,3.0,91.91,2.0,206,200,41,29,12,6,1
server\core.c,166,44,8,20,9.0,2.0,25.4,2.0,209,47,10,43,8,2,1
docs\manual\mod\core.xml,105,39,6,17,8.0,3.0,35.75,1.0,149,39,9,44,15,3,1
include\http_config.h,13,10,3,4,2.0,0.0,52.0,1.5,19,11,5,6,2,2,1
include\ap_mmn.h,39,4,1,35,12.0,5.0,18.62,2.0,92,11,3,53,13,2,1
server\config.c,-2,2,-1,2,2.0,0.0,66.67,3.0,5,5,2,7,4,4,1
docs\manual\mod\mod_deflate.xml.ja,0,0,0,4,3.0,0.0,50.0,1.0,4,1,1,4,1,1,1
docs\manual\mod\mod_deflate.xml.ko,0,0,0,4,3.0,0.0,50.0,1.0,4,1,1,4,1,1,1
docs\manual\mod\mod_deflate.html.en,70,57,7,10,6.0,3.0,68.9,1.5,117,57,12,47,33,5,1
docs\manual\mod\mod_deflate.xml,83,53,21,4,2.0,0.0,85.57,1.0,90,53,22,7,6,2,1
docs\manual\mod\mod_authnz_fcgi.html.en,-24,1,-3,8,5.0,3.0,87.5,1.0,36,24,4,60,50,8,1
docs\manual\mod\mod_authnz_fcgi.xml,2,1,1,2,1.0,0.0,100.0,1.5,3,2,2,1,1,0,1
docs\manual\mod\mod_proxy_fcgi.html.en,58,20,4,15,6.0,4.0,81.51,1.0,102,22,7,44,14,3,1
docs\manual\mod\mod_proxy_fcgi.xml,75,20,6,13,3.0,2.0,97.78,1.0,105,21,8,30,16,2,1
docs\manual\expr.html.en,55,13,3,20,8.0,5.0,49.27,1.0,130,36,6,75,28,4,1
docs\manual\mod\mod_alias.html.en,34,69,4,9,5.0,3.0,57.87,1.0,125,77,14,91,64,10,1
docs\manual\mod\quickreference.html.en,40,15,1,33,14.0,10.0,29.86,1.0,3153,562,96,3113,560,94,1
docs\manual\ssl\ssl_intro.xml.ja,0,0,0,2,2.0,0.0,50.0,1.0,2,1,1,2,1,1,1
docs\manual\ssl\ssl_intro.html.en,-4,0,-1,6,4.0,0.0,66.67,1.0,10,5,2,14,9,2,1
docs\manual\ssl\ssl_intro.xml,-4,0,-2,2,2.0,0.0,87.5,3.0,6,5,3,10,9,5,1
docs\manual\developer\output-filters.html.en,-11,0,-1,9,4.0,2.0,65.45,1.0,22,10,2,33,20,4,1
docs\manual\developer\output-filters.xml,-1,0,0,2,1.0,0.0,100.0,3.5,7,4,4,8,4,4,1
docs\manual\rewrite\intro.html.en,-7,9,-1,6,5.0,3.0,67.8,1.0,26,11,4,33,27,6,1
docs\manual\rewrite\intro.xml,10,10,10,1,1.0,0.0,100.0,1.0,12,12,12,2,2,2,1
docs\manual\mod\mod_rewrite.xml.fr,90,32,4,25,6.0,5.0,96.12,1.0,277,62,11,187,55,7,1
docs\manual\expr.html.fr,54,17,2,22,7.0,5.0,69.41,1.5,112,19,5,58,11,3,1
docs\manual\mod\mod_alias.html.fr,24,59,2,10,5.0,3.0,62.62,1.0,115,65,12,91,64,9,1
docs\manual\mod\mod_alias.xml.ja,0,0,0,2,2.0,0.0,50.0,1.0,2,1,1,2,1,1,1
docs\manual\mod\mod_alias.xml.ko,0,0,0,2,2.0,0.0,50.0,1.0,2,1,1,2,1,1,1
docs\manual\mod\mod_alias.xml.tr,0,0,0,2,2.0,0.0,50.0,1.0,2,1,1,2,1,1,1
docs\manual\mod\mod_rewrite.html.fr,41,30,2,24,7.0,3.0,63.7,2.0,318,96,13,277,120,12,1
docs\manual\expr.xml.fr,72,18,4,20,6.0,5.0,89.61,2.0,113,20,6,41,9,2,1
docs\manual\mod\mod_alias.xml.fr,79,77,26,3,2.0,1.0,98.1,2.0,92,87,31,13,10,4,1
modules\aaa\mod_authz_groupfile.c,32,32,8,4,3.0,2.0,90.48,1.0,37,34,9,5,2,1,1
modules\ssl\ssl_engine_config.c,61,65,3,21,9.0,5.0,38.82,2.0,225,79,11,164,52,8,1
modules\ssl\ssl_private.h,-67,7,-3,23,7.0,5.0,83.39,2.0,120,49,5,187,70,8,1
modules\ssl\ssl_engine_init.c,11,87,0,36,8.0,6.0,85.93,2.0,876,244,24,865,237,24,1
docs\manual\expr.xml,77,12,4,22,6.0,2.0,41.62,1.0,125,40,6,48,28,2,1
docs\manual\mod\mod_alias.xml,74,72,37,2,2.0,1.0,95.45,6.5,81,78,40,7,6,4,1
include\http_core.h,80,24,7,12,7.0,3.0,48.89,1.0,85,26,7,5,2,0,1
server\request.c,100,100,33,3,3.0,0.0,89.71,1.0,118,111,39,18,11,6,1
modules\http\http_filters.c,79,45,5,16,8.0,3.0,46.98,2.0,147,50,9,68,15,4,1
Makefile.in,21,20,4,6,4.0,3.0,90.57,1.0,37,20,6,16,12,3,1
configure.in,45,19,4,12,6.0,3.0,57.89,1.0,89,35,7,44,16,4,1
acinclude.m4,23,21,5,5,3.0,0.0,82.86,2.0,29,21,6,6,2,1,1
modules\lua\NWGNUmakefile,10,7,5,2,1.0,0.0,100.0,2.0,11,8,6,1,1,0,1
modules\lua\mod_lua.h,7,8,2,3,3.0,0.0,61.54,1.0,10,8,3,3,3,1,1
build\NWGNUtail.inc,1,1,0,2,1.0,0.0,100.0,1.5,3,2,2,2,1,1,1
modules\aaa\mod_authnz_fcgi.c,-1,13,0,13,4.0,1.0,52.45,3.0,71,20,5,72,21,6,1
docs\manual\howto\htaccess.html.fr,19,31,2,10,5.0,3.0,53.76,1.0,56,33,6,37,27,4,1
docs\manual\howto\htaccess.xml.meta,0,0,0,4,3.0,0.0,50.0,1.0,4,1,1,4,1,1,1
docs\manual\mod\mod_proxy_http.html.fr,1,1,0,5,5.0,0.0,38.46,1.0,7,3,1,6,2,1,1
docs\manual\howto\htaccess.xml.fr,35,35,9,4,3.0,2.0,91.84,1.5,42,36,10,7,4,2,1
docs\manual\mod\mod_proxy_http.xml.fr,1,1,1,1,1.0,0.0,100.0,2.0,4,4,4,3,3,3,1
modules\mappers\mod_rewrite.c,125,28,9,14,3.0,1.0,91.13,2.0,164,29,12,39,11,3,1
docs\manual\mod\mod_proxy_http.html.en,0,0,0,5,5.0,0.0,33.33,1.0,6,2,1,6,2,1,1
docs\manual\mod\mod_proxy_http.xml,0,0,0,1,1.0,0.0,100.0,1.0,2,2,2,2,2,2,1
docs\manual\howto\htaccess.xml.ja,0,0,0,2,2.0,0.0,50.0,1.0,2,1,1,2,1,1,1
docs\manual\howto\htaccess.xml.ko,0,0,0,2,2.0,0.0,50.0,1.0,2,1,1,2,1,1,1
docs\manual\howto\htaccess.xml.pt-br,0,0,0,2,2.0,0.0,50.0,1.0,2,1,1,2,1,1,1
docs\manual\howto\htaccess.html.en,17,29,2,7,4.0,2.0,53.33,1.0,46,29,7,29,24,4,1
docs\manual\howto\htaccess.xml,30,30,15,2,2.0,0.0,83.33,1.5,33,30,16,3,3,2,1
server\mpm\eventopt\eventopt.c,98,76,4,27,6.0,4.0,72.84,3.0,500,113,19,402,64,15,1
server\mpm\event\event.c,262,75,5,51,8.0,3.0,40.03,3.0,703,112,14,441,51,9,1
docs\manual\expr.xml.meta,0,0,0,12,7.0,0.0,41.67,1.0,12,1,1,12,1,1,1
modules\dav\main\config5.m4,-4,-4,-4,1,1.0,0.0,100.0,1.0,0,0,0,4,4,4,1
docs\manual\mod\quickreference.html.de,37,20,1,29,9.0,5.0,38.4,1.0,2421,563,83,2384,561,82,1
docs\manual\mod\quickreference.html.es,40,20,1,28,9.0,5.0,38.3,1.0,2417,563,86,2377,561,85,1
docs\manual\mod\quickreference.html.ja.utf8,36,20,1,26,9.0,5.0,38.03,1.5,2374,555,91,2338,553,90,1
docs\manual\mod\quickreference.html.ko.euc-kr,40,20,2,26,9.0,5.0,38.28,1.0,2392,561,92,2352,559,90,1
docs\manual\mod\quickreference.html.tr.utf8,40,20,1,28,9.0,5.0,38.25,1.0,2438,569,87,2398,567,86,1
docs\manual\mod\quickreference.html.zh-cn.utf8,40,20,1,29,9.0,5.0,38.3,1.0,2417,563,83,2377,561,82,1
docs\manual\convenience.map,28,14,3,9,4.0,1.0,50.0,1.0,29,14,3,1,1,0,1
docs\manual\howto\public_html.html.ja.utf8,-5,4,-1,6,5.0,3.0,80.95,1.0,29,21,5,34,30,6,1
docs\manual\mod\directives.html.de,29,705,1,20,9.0,7.0,48.73,1.0,744,705,37,715,705,36,1
docs\manual\mod\directives.html.en,29,9,2,19,9.0,4.0,36.73,1.0,39,9,2,10,1,1,1
docs\manual\mod\directives.html.es,29,14,2,18,8.0,4.0,36.73,1.5,39,14,2,10,1,1,1
docs\manual\mod\directives.html.fr,736,710,43,17,9.0,8.0,93.92,1.0,746,710,44,10,1,1,1
docs\manual\mod\directives.html.ja.utf8,29,14,2,18,8.0,4.0,36.73,1.5,39,14,2,10,1,1,1
docs\manual\mod\directives.html.ko.euc-kr,29,14,2,18,8.0,4.0,36.73,1.5,39,14,2,10,1,1,1
docs\manual\mod\directives.html.tr.utf8,29,14,2,18,8.0,4.0,36.73,1.5,39,14,2,10,1,1,1
docs\manual\mod\directives.html.zh-cn.utf8,29,14,2,19,8.0,4.0,36.73,1.0,39,14,2,10,1,1,1
modules\ssl\mod_ssl.c,7,11,1,7,5.0,0.0,37.84,1.0,22,11,3,15,9,2,1
modules\proxy\mod_proxy_fcgi.c,-87,54,-3,32,7.0,4.0,73.74,2.5,423,71,13,510,219,16,1
modules\ssl\ssl_engine_kernel.c,-13,53,-1,20,7.0,2.0,47.53,2.0,226,57,11,239,102,12,1
modules\ssl\ssl_engine_vars.c,146,74,24,6,4.0,2.0,51.25,1.5,153,74,26,7,4,1,1
modules\ssl\ssl_util_ssl.c,24,43,4,6,2.0,0.0,92.54,1.5,126,77,21,102,43,17,1
modules\ssl\ssl_util_ssl.h,0,2,0,3,1.0,0.0,100.0,1.0,3,2,1,3,2,1,1
modules\proxy\mod_proxy.c,159,40,6,26,8.0,2.0,43.83,2.5,270,50,10,111,11,4,1
modules\proxy\mod_proxy_balancer.c,12,4,1,9,5.0,2.0,80.3,1.0,39,11,4,27,11,3,1
modules\filters\mod_include.c,0,0,0,2,1.0,0.0,100.0,2.5,8,7,4,8,7,4,1
modules\cache\mod_socache_memcache.c,6,6,6,1,1.0,0.0,100.0,1.0,8,8,8,2,2,2,1
docs\manual\howto\public_html.xml.meta,0,0,0,5,2.0,0.0,83.33,1.0,6,2,1,6,2,1,1
docs\manual\howto\public_html.xml.fr,1,1,0,6,1.0,0.0,100.0,1.0,7,2,1,6,1,1,1
docs\manual\howto\public_html.html.en,-4,0,0,9,5.0,0.0,64.29,1.0,12,4,1,16,8,2,1
docs\manual\howto\public_html.xml.ja,-8,0,-2,5,3.0,1.0,84.0,1.0,21,17,4,29,25,6,1
docs\manual\howto\public_html.xml.ko,0,0,0,4,2.0,0.0,75.0,1.0,4,1,1,4,1,1,1
docs\manual\howto\public_html.xml.tr,0,0,0,4,2.0,0.0,75.0,1.0,4,1,1,4,1,1,1
docs\manual\howto\public_html.xml,0,0,0,4,2.0,0.0,75.0,1.0,4,1,1,4,1,1,1
docs\manual\howto\public_html.html.fr,-3,1,0,8,5.0,0.0,66.67,1.0,12,4,2,15,8,2,1
docs\manual\mod\mod_proxy.html.fr,26,20,1,23,8.0,5.0,73.94,2.0,226,58,10,200,130,9,1
