filename,#CodeChurnInFile,MaxSizeCodeChurn,AvgSizeCodeChurn,#Commits,#Contributors,#MinorContributors,#ContibutorExperience,#Hunks,#LinesAdded,MaxLinesAdded,AvgLinesAdded,#LinesRemoved,MaxLinesRemoved,AvgLinesRemoved,vulnerable
pom.xml,143,128,4,32,1,0,100.0,1.0,185,128,6,42,12,1,1
src\java\winstone\ssl\HttpsListener.java,294,194,74,4,1,0,100.0,7.5,371,194,93,77,45,19,1
deploy.sh,3,2,2,2,1,0,100.0,1.0,3,2,2,0,0,0,1
src\java\winstone\WinstoneSession.java,520,520,130,4,1,0,100.0,1.0,525,520,131,5,3,1,1
src\java\winstone\HttpListener.java,396,388,99,4,1,0,100.0,1.0,416,388,104,20,16,5,1
src\java\winstone\Launcher.java,549,533,137,4,1,0,100.0,1.5,696,533,174,147,144,37,1
src\java\winstone\Listener.java,82,82,41,2,1,0,100.0,1.0,83,82,42,1,1,0,1
src\java\winstone\ajp13\Ajp13Listener.java,455,452,114,4,1,0,100.0,4.0,480,452,120,25,12,6,1
src\java\winstone\LocalStrings.properties,462,458,116,4,1,0,100.0,1.0,463,458,116,1,1,0,1
src\java\winstone\WebAppConfiguration.java,1918,1908,274,7,1,0,100.0,1,1940,1908,277,22,10,3,1
src\java\winstone\WinstoneOutputStream.java,269,249,67,4,1,0,100.0,1.5,281,249,70,12,8,3,1
src\java\winstone\ShutdownHook.java,28,26,14,2,1,0,100.0,1.5,29,26,14,1,1,0,1
src\java\winstone\WinstoneResponse.java,837,833,279,3,1,0,100.0,1,839,833,280,2,1,1,1
src\java\winstone\URIUtil.java,53,50,26,2,1,0,100.0,3.0,57,50,28,4,4,2,1
src\test\winstone\URIUtilTest.java,34,34,34,1,1,0,100.0,1,34,34,34,0,0,0,1
src\java\winstone\ajp13\Ajp13IncomingPacket.java,379,413,126,3,1,0,100.0,6,472,413,157,93,84,31,1
.gitignore,4,4,4,1,1,0,100.0,1,4,4,4,0,0,0,1
src\java\winstone\WinstoneInputStream.java,119,93,40,3,1,0,100.0,2,125,93,42,6,6,2,1
src\java\winstone\WinstoneRequest.java,1375,1356,344,4,1,0,100.0,3.5,1395,1356,349,20,15,5,1
src\java\javax\servlet\ServletException.java,41,61,20,2,1,0,100.0,2.0,63,61,32,22,22,11,1
src\java\winstone\ajp13\LocalStrings.properties,29,29,14,2,1,0,100.0,1.0,30,29,15,1,1,0,1
src\java\winstone\RequestHandlerThread.java,340,329,113,3,1,0,100.0,1,343,329,114,3,3,1,1
src\java\winstone\ClientOutputStream.java,52,52,52,1,1,0,100.0,1,52,52,52,0,0,0,1
src\java\winstone\ClientSocketException.java,15,15,15,1,1,0,100.0,1,15,15,15,0,0,0,1
src\java\winstone\ObjectPool.java,290,308,145,2,1,0,100.0,5.5,319,308,160,29,29,14,1
src\java\winstone\HostConfiguration.java,366,342,52,7,1,0,100.0,2,384,342,55,18,12,3,1
src\java\winstone\Mapping.java,220,220,110,2,1,0,100.0,2.5,224,220,112,4,4,2,1
.hgignore,5,4,2,2,1,0,100.0,1.0,5,4,2,0,0,0,1
