filename,#CodeChurnInFile,MaxSizeCodeChurn,AvgSizeCodeChurn,#Commits,#Contributors,#MinorContributors,#ContibutorExperience,#Hunks,#LinesAdded,MaxLinesAdded,AvgLinesAdded,#LinesRemoved,MaxLinesRemoved,AvgLinesRemoved,vulnerable
contrib\internal\prepare-dev.py,148,93,16,9,1,0,100.0,1,156,93,17,8,5,1,1
docs\manual\docs.db,0,0,0,7,,,,0,0,0,0,0,0,0,1
reviewboard\admin\management\evolutions.py,58,58,14,4,1,0,100.0,0.5,59,58,15,1,1,0,1
docs\manual\data\htdocs\media\ext\.gitignore,4,4,4,1,1,0,100.0,1,4,4,4,0,0,0,1
reviewboard\htdocs\media\ext\.gitignore,4,4,4,1,1,0,100.0,1,4,4,4,0,0,0,1
reviewboard\manage.py,155,68,2,66,4,2,72.58,2.0,444,68,7,289,31,4,1
reviewboard\diffviewer\models.py,108,56,3,31,6,3,72.44,1,230,59,7,122,19,4,1
reviewboard\diffviewer\diffutils.py,1156,233,13,90,11,9,88.39,2.0,1702,234,19,546,70,6,1
AUTHORS,181,99,2,78,12,10,85.79,1.0,189,99,2,8,1,0,1
docs\releasenotes\reviewboard\1.6.2.txt,101,101,101,1,1,0,100.0,1,101,101,101,0,0,0,1
docs\releasenotes\reviewboard\index.txt,75,21,2,34,1,0,100.0,1.0,80,21,2,5,1,0,1
reviewboard\__init__.py,84,39,1,74,2,1,95.49,1.0,164,40,2,80,9,1,1
setup.py,97,97,1,115,2,1,99.88,1,472,97,4,375,78,3,1
reviewboard\htdocs\media\rb\images\favicon_notify.ico,0,0,0,4,,,,0.0,0,0,0,0,0,0,1
reviewboard\diffviewer\evolutions\add_diff_hash.py,9,9,9,1,1,0,100.0,1,9,9,9,0,0,0,1
reviewboard\diffviewer\managers.py,20,20,20,1,1,0,100.0,1,20,20,20,0,0,0,1
reviewboard\templates\admin\authentication_settings.html,52,40,5,10,1,0,100.0,1.0,81,40,8,29,24,3,1
reviewboard\templates\admin\dashboard.html,43,105,2,20,3,1,61.69,1.0,199,105,10,156,94,8,1
reviewboard\templates\admin\scmtools\repository\change_form.html,75,132,8,10,1,0,100.0,3.0,227,132,23,152,140,15,1
reviewboard\templates\admin\storage_settings.html,25,25,8,3,2,0,86.21,1,27,25,9,2,1,1,1
reviewboard\templates\base.html,87,12,1,79,6,4,77.91,1,288,24,4,201,22,3,1
reviewboard\htdocs\media\rb\js\jquery-1.3.2.min.js,19,19,19,1,1,0,100.0,1,19,19,19,0,0,0,1
